2024/09/09 10:09:24.208022 main.go:69: [MongoDB] Retrieved author with ID: 57763f36-3f92-4285-a606-ff84ac206476
2024/09/09 10:09:24.210787 main.go:91: [MongoDB] Deleted author with ID: 5591f555-4662-45ec-bb12-9eb7d49cc7e9
2024/09/09 10:09:24.211727 main.go:91: [MongoDB] Deleted author with ID: f651c7dc-d6f7-46f1-adb4-80a41cbe1ff3
2024/09/09 10:09:24.212490 main.go:91: [MongoDB] Deleted author with ID: 92c6de5d-5275-471b-b7aa-ee88336a78f6
2024/09/09 10:09:24.213450 main.go:91: [MongoDB] Deleted author with ID: 1da3a93c-6ac0-498f-9b83-9d2647b3d14c
2024/09/09 10:09:24.214461 main.go:91: [MongoDB] Deleted author with ID: 936362dd-f64d-4384-a4a5-6e51f909513e
2024/09/09 10:09:24.215564 main.go:91: [MongoDB] Deleted author with ID: 55d3e8c8-f907-4304-9ddf-e594e0bf4147
2024/09/09 10:09:24.216582 main.go:91: [MongoDB] Deleted author with ID: 4e1aed80-dfab-4783-b0bc-cb81cd708801
2024/09/09 10:09:24.217661 main.go:91: [MongoDB] Deleted author with ID: e4a488d7-82fb-4ecc-a46e-6961e71f6986
2024/09/09 10:09:24.218784 main.go:91: [MongoDB] Deleted author with ID: f08af1bc-09f0-4933-81e6-ffb5723ea1f4
2024/09/09 10:09:24.219753 main.go:91: [MongoDB] Deleted author with ID: 19c09fcc-b566-47f8-8ce3-1b7eb286351e
2024/09/09 10:09:24.220953 main.go:91: [MongoDB] Deleted author with ID: 8fe21019-1420-4aca-81da-ff9c232789a9
2024/09/09 10:09:24.222203 main.go:91: [MongoDB] Deleted author with ID: 56c7a99e-ae63-4c11-895a-6f99afd369a0
2024/09/09 10:09:24.223382 main.go:91: [MongoDB] Deleted author with ID: 5ccde8f0-44eb-4689-a6c1-6578aaffd623
